Partlist

Exported from LED-RGB-shield_v1.1.brd at 22/4/2014 2:05:49 PM

EAGLE Version 5.7.0 Copyright (c) 1988-2010 CadSoft

Part     Value                Package                      Library           Position (mil)        Orientation

C1       100uF/10V/X5R        C1206                        rcl               (1087.5 1712.5)       R270
C2       100uF/10V/X5R        C1206                        rcl               (1175 1712.5)         R270
C3       1uF/100V/X7R         C1206                        rcl               (1175 1512.5)         R90
C4       1uF/100V/X7R         C1206                        rcl               (987.5 475)           R270
C5       1uF/100V/X7R         C1206                        rcl               (1087.5 1512.5)       R90
C6       47uF/63V/EEE1JA470UP PANASONIC_F                  rcl               (750 475)             R90
C7       100p                 C0603                        rcl               (1375 1800)           R90
C8       100n                 C0603                        rcl               (525 975)             R270
C9       10n                  C0603                        rcl               (600 975)             R270
C10      10n                  C0603                        rcl               (1187.5 1000)         R270
C11      100n                 C0603                        rcl               (1262.5 1000)         R270
C12      100n                 C0603                        rcl               (1187.5 1250)         R90
C13      10u                  C0603                        rcl               (1262.5 1250)         R90
C14      10u/X5R/6.3V         C0603                        rcl               (525 1275)            R90
C15      100n/X7R             C0603                        rcl               (600 1275)            R90
C16      1uF                  C0603                        rcl               (1625 925)            R180
C17      100nF                C0603                        rcl               (1625 975)            R180
C18      10nF                 C0603                        rcl               (1412.5 925)          R180
C19      10nF                 C0603                        rcl               (1400 662.5)          R180
C20      10nF                 C0603                        rcl               (1400 412.5)          R180
C21      1uF                  C0603                        rcl               (1937.5 1162.5)       R180
C22      1uF                  C0603                        rcl               (1412.5 1100)         R270
C23      1uF                  C0603                        rcl               (1581.252 1443.752)   R270
D1       CD214A-B160          DO-214AC                     diode             (1362.5 762.5)        R0
D2       CD214A-B160          DO-214AC                     diode             (1362.5 500)          R0
D3       CD214A-B160          DO-214AC                     diode             (1362.5 250)          R0
IC1      LTC3630              MSE16(12)                    LinearTechnology  (1312.5 1600)         R0
IC2      ADM2687              SO-16W                       AnalogDevice      (900 1125)            R90
IC3      XMC1202-T028         P-TSSOP28-16                 XMC1000           (1662.5 1162.5)       R90
L1       33uH/WE-744773133    WE-PD2_S                     wuerth-elektronik (925 1600)            R270
L2       33uH/WE-74408943330  WE-SPC_48XX                  PowerMagnetics    (1762.5 768.752)      R0
L3       33uH/WE-74408943330  WE-SPC_48XX                  PowerMagnetics    (1762.5 525)          R0
L4       33uH/WE-74408943330  WE-SPC_48XX                  PowerMagnetics    (1762.5 287.5)        R0
LED1     ON                   CHIP-LED0603                 led               (50 387.5)            R0
Q1       BSR606N              SC59                         infineon_discrete (1562.5 762.5)        R180
Q2       BSR606N              SC59                         infineon_discrete (1562.5 537.5)        R180
Q3       BSR606N              SC59                         infineon_discrete (1562.5 287.496)      R180
R1       10k                  R0603                        rcl               (2000 1787.5)         R180
R2       10k                  R0603                        rcl               (2000 1712.5)         R180
R3       1k5                  R0603                        rcl               (50 275)              R270
R4       100k                 R0603                        rcl               (1300 1800)           R90
R5       47k                  R0603                        rcl               (1962.5 1237.5)       R0
R6       0R                   R0603                        rcl               (1262.5 1125)         R270
R7       47k                  R0603                        rcl               (1962.5 1312.5)       R180
R8       47R                  R0603                        rcl               (1731.252 943.752)    R270
R9       47R                  R0603                        rcl               (1787.5 943.752)      R270
R10      47R                  R0603                        rcl               (1843.752 943.748)    R270
R11      220k                 R0603                        rcl               (1562.5 875)          R180
R12      220k                 R0603                        rcl               (1550 643.752)        R180
R13      220k                 R0603                        rcl               (1531.252 412.5)      R180
R14      0R200/1%             R0805                        rcl               (1412.5 862.5)        R180
R15      0R200/1%             R0805                        rcl               (1400 600)            R180
R16      0R200/1%             R0805                        rcl               (1400 350)            R180
R17      47k                  R0603                        rcl               (1937.5 1087.5)       R180
R18      47k                  R0603                        rcl               (1412.5 1225)         R270
R19      47k                  R0603                        rcl               (1512.5 1412.5)       R270
SHAPE1   ARDUINO_SHIELD       XMC1100_FOR_ARDUINO          arduino           (0 0)                 R0
X1       805-302              P-805-302                    con-wago_805      (262.5 625)           R180
X2       250-204/000-012      P-250-204                    con-wago_250      (2112.5 737.5)        R0
X3       250-403/000-006      P-250-403                    con-wago_250      (250 1075)            R180
X4       FTSH-105-01-L-D      FTSH-105-01-L-DV-THROUGHHOLE TIMM1             (1800 1437.5)         R0
X5       n.m.                 MA04-2                       con-lstb          (1700 1750)           R0
